poemId,emotion,le_prob,ai_prob,xi_prob,nu/hao_prob,si_prob
39,"哀, 思",0.0164,0.6568,0.0525,0.0031,0.7733
40,哀,0.0034,0.9851,0.0127,0.1202,0.0107
41,乐,0.7577,0.1775,0.0012,0.0212,0.1185
42,哀,0.1655,0.65,0.1285,0.0072,0.0309
43,乐,0.8129,0.1085,0.0417,0.0216,0.0672
44,"哀, 怒/豪",0.0069,0.5111,0.0271,0.7692,0.1427
45,思,0.2556,0.0322,0.005,0.0001,0.6558
46,乐,0.3927,0.0222,0.0022,0.063,0.3057
47,哀,0.1993,0.9487,0.0064,0.0006,0.0379
48,"乐, 喜",0.8410,0.0027,0.6909,0.0235,0.0290
49,哀,0.0001,0.9998,0.0005,0.0058,0.063
50,哀,0.0041,0.8429,0.0155,0.0001,0.4694
51,哀,0.0014,0.9999,0.0001,0.0007,0.0782
52,思,0.4626,0.0052,0.0869,0.2765,0.5135
53,哀,0.0136,0.9792,0.0051,0.0528,0.1643
54,"怒/豪, 思",0.0185,0.0675,0.0200,0.7147,0.5129
55,思,0.1913,0.1721,0.0189,0.0119,0.4327
56,喜,0.0958,0.0449,0.7785,0.002,0.0523
57,哀,0.0634,0.3908,0.0057,0.3151,0.3473
58,乐,0.9739,0.0075,0.4271,0.0012,0.038
59,哀,0.0665,0.783,0.0015,0.0399,0.1576
60,思,0.0129,0.0585,0.0134,0.0702,0.5965
61,哀,0.0479,0.7472,0.0528,0.018,0.4276
62,乐,0.6336,0.2031,0.0111,0.0053,0.3298
63,"乐, 思",0.6007,0.1143,0.0424,0.0035,0.7347
64,哀,0.0183,0.675,0.1475,0.0067,0.032
65,"乐, 思",0.6762,0.0044,0.0399,0.0131,0.8948
66,"哀, 思",0.0470,0.7902,0.0042,0.0031,0.5084
67,哀,0.0006,0.9413,0.0041,0.062,0.3485
68,哀,0.2728,0.5042,0.0433,0.0051,0.236
69,乐,0.9498,0.0109,0.0204,0.0091,0.1933
70,思,0.3188,0.1807,0.0807,0.0003,0.7578
71,乐,0.6133,0.056,0.0296,0.0618,0.2195
72,哀,0.0299,0.996,0.0032,0.0001,0.1214
73,乐,0.4446,0.0026,0.0251,0.0334,0.1508
74,思,0.3549,0.0709,0.2508,0.0174,0.7027
75,乐,0.6816,0.2471,0.1226,0.0144,0.1874
76,"哀, 喜, 怒/豪, 思",0.0895,0.5479,0.8182,0.8259,0.9181
77,喜,0.3564,0.1091,0.6553,0.0236,0.1358
78,"哀, 思",0.0955,0.7951,0.0045,0.0020,0.5356
79,哀,0.0038,0.8576,0.0039,0.1288,0.4785
80,"乐, 哀",0.8824,0.8964,0.0238,0.0880,0.4607
81,哀,0.0685,0.9899,0.0004,0.0377,0.0144
82,思,0.0427,0.3088,0.0029,0.0045,0.8504
83,哀,0.4738,0.6151,0.0911,0.0498,0.0554
84,哀,0.0004,0.9996,0.0014,0.0001,0.3914
85,哀,0.0092,0.896,0.0009,0.0105,0.3228
86,乐,0.9461,0.0505,0.0031,0.0095,0.0908
87,乐,0.5277,0.2606,0.005,0.0055,0.0489
88,思,0.0852,0.3452,0.0016,0.015,0.6257
89,乐,0.3839,0.2915,0.0179,0.0033,0.2485
90,哀,0.0079,0.9826,0.3098,0.0006,0.1393
91,哀,0.0475,0.8816,0.0072,0.0727,0.2025
92,思,0.1687,0.1395,0.0142,0.2008,0.4307
93,乐,0.3809,0.2492,0.0695,0.089,0.2388
94,思,0.209,0.0322,0.202,0.0036,0.5508
95,思,0.0038,0.2986,0.0051,0.4689,0.5806
96,哀,0.0413,0.4246,0.0012,0.0197,0.1783
97,思,0.1799,0.0421,0.0383,0.0172,0.9204
98,思,0.0984,0.1484,0.0172,0.0046,0.9063
99,哀,0.2028,0.6581,0.0026,0.0526,0.3075
100,"哀, 思",0.0126,0.9526,0.0029,0.0228,0.6926
101,乐,0.3096,0.0326,0.013,0.0055,0.2361
102,哀,0.1036,0.4022,0.0438,0.0029,0.3854
103,"哀, 思",0.4537,0.6413,0.2672,0.0067,0.7413
104,"哀, 思",0.0006,0.9476,0.0026,0.0032,0.9541
105,"怒/豪, 思",0.0862,0.0383,0.0589,0.5910,0.8283
106,思,0.1953,0.1736,0.2183,0.1717,0.4102
107,乐,0.7157,0.1993,0.0196,0.0137,0.0961
108,哀,0.0427,0.4133,0.025,0.0542,0.1566
109,思,0.0009,0.1929,0.0008,0.0009,0.9995
110,"哀, 思",0.0098,0.9418,0.0010,0.0005,0.6065
111,思,0.2447,0.0271,0.0557,0.0018,0.8833
112,怒/豪,0.4599,0.0059,0.1421,0.7125,0.0045
113,乐,0.6742,0.1051,0.0012,0.0145,0.4813
114,思,0.0073,0.2426,0.0006,0.0454,0.9879
115,乐,0.8744,0.023,0.3661,0.0034,0.094
116,哀,0.0152,0.9984,0.0033,0.0104,0.1103
117,思,0.2334,0.0096,0.4545,0.0004,0.9208
118,乐,0.944,0.0425,0.0146,0.0037,0.1511
119,乐,0.8151,0.0432,0.1161,0.2437,0.0109
120,乐,0.5356,0.0047,0.1633,0.1614,0.0707
121,思,0.0069,0.0124,0.0009,0.0001,0.9959
122,"乐, 哀",0.8043,0.6962,0.3946,0.0051,0.0207
123,"乐, 哀",0.6754,0.8087,0.0029,0.1105,0.0312
124,"乐, 喜",0.9183,0.0025,0.7258,0.0126,0.0998
125,思,0.0055,0.0588,0.1312,0.0118,0.5051
126,"哀, 思",0.0113,0.7872,0.0204,0.0001,0.9578
127,哀,0.0415,0.3948,0.0593,0.1116,0.2475
128,"乐, 喜",0.6571,0.0374,0.9682,0.0049,0.0646
129,"哀, 思",0.0049,0.7850,0.0372,0.0052,0.6564
130,哀,0.3154,0.3409,0.0566,0.1082,0.0855
131,乐,0.5076,0.0273,0.2557,0.0126,0.3328
132,思,0.2568,0.0012,0.0377,0.0005,0.813
133,哀,0.0289,0.9812,0.0113,0.0026,0.0094
134,哀,0.0017,0.979,0.0021,0.0092,0.0913
135,哀,0.0197,0.9605,0.0004,0.0116,0.1521
136,哀,0.0156,0.9971,0.0013,0.0061,0.005
137,"哀, 思",0.1035,0.5194,0.0015,0.0282,0.7905
138,"乐, 哀",0.6907,0.8292,0.0037,0.1690,0.0505
139,哀,0.3573,0.3583,0.3126,0.0729,0.0992
140,"乐, 哀",0.7039,0.6324,0.0037,0.0067,0.0413
141,哀,0.0204,0.486,0.0029,0.0052,0.3704
142,哀,0.2309,0.6742,0.0174,0.0158,0.2336
143,思,0.0973,0.1076,0.0015,0.004,0.9019
144,乐,0.712,0.0145,0.1129,0.0005,0.0404
145,思,0.0059,0.2633,0.0094,0.194,0.3503
146,哀,0.0156,0.7982,0.0437,0.1658,0.0367
147,"乐, 思",0.5755,0.2743,0.0228,0.0200,0.7619
148,哀,0.0796,0.8838,0.0077,0.0053,0.0719
149,哀,0.1198,0.6114,0.1667,0.2489,0.0262
150,思,0.0082,0.2688,0.0748,0.0001,0.7556
151,哀,0.006,0.9981,0.0026,0.0976,0.0085
152,哀,0.0044,0.9999,0.0001,0.0005,0.0508
153,思,0.1109,0.0296,0.1928,0.1301,0.9435
154,哀,0.0273,0.9378,0.0006,0.0086,0.1095
155,乐,0.6398,0.4078,0.044,0.0013,0.0237
156,怒/豪,0.2276,0.4825,0.0012,0.7533,0.0028
157,哀,0.1224,0.3167,0.0627,0.027,0.1113
158,思,0.0491,0.0965,0.2609,0.0006,0.4893
159,哀,0.0014,0.6539,0.0003,0.2293,0.1958
160,哀,0.0232,0.8951,0.0018,0.0402,0.3177
161,哀,0.2242,0.9769,0.2168,0.1177,0.0
162,哀,0.4161,0.6626,0.0523,0.0005,0.2187
163,乐,0.7984,0.1886,0.0187,0.0019,0.0441
164,思,0.0514,0.003,0.0045,0.0019,0.9698
165,思,0.1207,0.2748,0.006,0.0019,0.8199
166,"哀, 思",0.0738,0.6729,0.0131,0.0506,0.5147
167,"乐, 思",0.5126,0.0636,0.0456,0.0045,0.6961
168,乐,0.5104,0.4423,0.0071,0.0004,0.0506
169,哀,0.0931,0.9238,0.0018,0.0009,0.1725
170,乐,0.9303,0.0811,0.3155,0.0036,0.0592
171,哀,0.3231,0.3846,0.0089,0.032,0.2381
172,"哀, 思",0.0014,0.9223,0.0131,0.0013,0.6600
173,"乐, 哀",0.5462,0.6458,0.0601,0.0333,0.0683
174,哀,0.0023,0.9998,0.005,0.0035,0.0798
175,哀,0.0167,0.9751,0.0003,0.0006,0.1588
176,乐,0.5562,0.1184,0.0003,0.006,0.2268
177,哀,0.0197,0.7758,0.0139,0.0553,0.0584
178,哀,0.089,0.8602,0.025,0.0125,0.047
179,思,0.0168,0.1136,0.0317,0.0395,0.3589
180,哀,0.006,0.9922,0.0003,0.4515,0.4564
181,哀,0.023,0.4587,0.008,0.0246,0.1143
182,"哀, 思",0.0130,0.9483,0.0076,0.0972,0.9486
183,哀,0.2884,0.5266,0.0008,0.0285,0.0137
184,"哀, 思",0.0242,0.7341,0.0052,0.0130,0.5765
185,乐,0.7532,0.1595,0.3879,0.002,0.335
186,哀,0.1731,0.8343,0.0092,0.0248,0.0698
187,思,0.1382,0.1518,0.1875,0.0079,0.3553
188,哀,0.0231,0.8265,0.0072,0.3178,0.0181
189,哀,0.008,0.9988,0.0004,0.0044,0.0
190,思,0.0074,0.2666,0.0101,0.0171,0.5584
191,"乐, 喜",0.7846,0.2205,0.5062,0.0029,0.1749
192,乐,0.9413,0.1828,0.0029,0.0002,0.1414
193,乐,0.7381,0.0338,0.0513,0.0627,0.1149
194,哀,0.0808,0.9901,0.0044,0.0002,0.0788
195,乐,0.9886,0.1047,0.0483,0.0001,0.2816
196,思,0.0139,0.2264,0.1454,0.0008,0.6997
197,哀,0.0558,0.9435,0.0008,0.0005,0.3066
198,哀,0.4905,0.8403,0.0242,0.0004,0.0533
199,哀,0.1508,0.961,0.0001,0.1989,0.0149
200,"哀, 思",0.4559,0.6532,0.3204,0.0013,0.5750
201,哀,0.32,0.5663,0.0034,0.1411,0.2998
202,思,0.0444,0.0586,0.0107,0.0528,0.7937
203,"乐, 思",0.9160,0.0012,0.0278,0.0002,0.7290
204,乐,0.5629,0.2413,0.0338,0.0074,0.0287
205,哀,0.023,0.4562,0.0026,0.3459,0.1338
206,哀,0.2879,0.5847,0.0193,0.0834,0.0139
207,哀,0.3247,0.3864,0.0019,0.0054,0.2715
208,哀,0.0473,0.9522,0.0005,0.0027,0.2935
209,"乐, 喜",0.8046,0.0002,0.9711,0.0022,0.0018
210,乐,0.3406,0.0263,0.1438,0.1489,0.1211
211,思,0.3622,0.0073,0.0051,0.0009,0.9927
212,乐,0.6255,0.0572,0.0188,0.0095,0.0255
213,哀,0.2017,0.8794,0.0823,0.0005,0.0108
214,乐,0.3841,0.3255,0.0188,0.0004,0.1019
215,哀,0.0052,0.9966,0.0123,0.0063,0.0134
216,哀,0.0121,0.7196,0.0342,0.0154,0.398
217,乐,0.4251,0.074,0.0133,0.2652,0.0195
218,乐,0.7045,0.029,0.062,0.0089,0.0622
219,"乐, 思",0.5659,0.0779,0.0032,0.0005,0.8963
220,思,0.463,0.1445,0.0482,0.0017,0.4696
221,思,0.2507,0.332,0.0065,0.0004,0.8633
222,思,0.0468,0.3786,0.1944,0.0171,0.4735
223,乐,0.5747,0.1606,0.0103,0.0468,0.1302
224,怒/豪,0.0056,0.1015,0.0008,0.3891,0.3287
225,乐,0.5072,0.2932,0.1159,0.068,0.4891
226,思,0.2768,0.0069,0.0879,0.0069,0.994
227,思,0.2846,0.4514,0.0006,0.0008,0.7139
228,"哀, 思",0.0387,0.5682,0.0099,0.1196,0.5633
229,哀,0.1279,0.6569,0.0008,0.0018,0.0374
230,哀,0.0309,0.9738,0.0011,0.0347,0.0835
231,哀,0.0304,0.9905,0.0061,0.001,0.0685
232,喜,0.0564,0.2432,0.4077,0.0046,0.2286
233,思,0.0383,0.4233,0.0011,0.0009,0.6787
234,哀,0.2175,0.9894,0.0282,0.1129,0.3878
235,思,0.3087,0.014,0.1606,0.0015,0.845
236,哀,0.2676,0.703,0.0098,0.0012,0.0509
237,乐,0.9807,0.0204,0.0862,0.0007,0.0196
238,"哀, 思",0.0146,0.9375,0.0027,0.0002,0.7751
239,哀,0.18,0.946,0.0012,0.0105,0.0315
240,乐,0.8948,0.0551,0.0208,0.0015,0.2303
241,哀,0.1107,0.6117,0.0009,0.002,0.2114
242,哀,0.1843,0.6115,0.0031,0.0007,0.3562
243,乐,0.2935,0.2699,0.0293,0.0582,0.0567
244,"怒/豪, 思",0.0093,0.3118,0.0954,0.7018,0.7260
245,"乐, 喜",0.7862,0.0089,0.5409,0.0003,0.2133
246,"乐, 思",0.8756,0.0430,0.3198,0.0004,0.5991
247,怒/豪,0.0382,0.0974,0.0906,0.9703,0.0391
248,哀,0.1454,0.4313,0.0105,0.1032,0.2966
249,"哀, 怒/豪",0.0476,0.8841,0.0038,0.6699,0.4367
250,乐,0.7978,0.0294,0.0384,0.0556,0.2509
251,"哀, 思",0.0037,0.9921,0.0029,0.0142,0.7751
252,思,0.1614,0.0276,0.0075,0.1401,0.5681
253,思,0.3075,0.0392,0.0547,0.0115,0.6371
254,"哀, 思",0.1926,0.5774,0.0003,0.0016,0.9503
255,哀,0.0331,0.9238,0.0021,0.1249,0.3705
256,哀,0.0489,0.5392,0.0015,0.1118,0.2749
257,乐,0.9294,0.0028,0.0239,0.011,0.4951
258,哀,0.0876,0.9491,0.0051,0.0062,0.2176
259,乐,0.693,0.357,0.0046,0.001,0.3369
260,乐,0.828,0.2366,0.1164,0.0019,0.1498
261,哀,0.0101,0.9182,0.0149,0.036,0.0919
262,思,0.0162,0.1271,0.0313,0.1183,0.2668
263,"哀, 思",0.0070,0.8387,0.0046,0.0761,0.8832
264,乐,0.2851,0.0916,0.0077,0.0383,0.1771
265,乐,0.6601,0.3465,0.0022,0.013,0.3877
266,乐,0.8269,0.0123,0.1294,0.0008,0.264
267,思,0.1931,0.2038,0.0627,0.1176,0.5092
268,"乐, 喜",0.9616,0.0116,0.6893,0.0013,0.0242
269,"哀, 思",0.0482,0.6524,0.0266,0.0017,0.5691
270,哀,0.0118,0.8855,0.0015,0.1533,0.488
271,思,0.1787,0.0033,0.0238,0.0398,0.5025
272,"哀, 思",0.0008,0.7206,0.0057,0.0168,0.7984
273,哀,0.0773,0.9897,0.1186,0.0602,0.1799
274,"乐, 哀",0.5389,0.8466,0.1473,0.0134,0.0034
275,"哀, 思",0.0025,0.7814,0.0082,0.0085,0.9622
276,哀,0.3111,0.9163,0.0208,0.0047,0.0027
277,"乐, 思",0.9505,0.0015,0.0173,0.0061,0.7610
278,哀,0.251,0.3919,0.1278,0.0065,0.0351
279,乐,0.4171,0.3304,0.1281,0.0111,0.0056
280,哀,0.121,0.6368,0.0004,0.0329,0.1791
281,"乐, 思",0.7423,0.0154,0.0130,0.0180,0.6391
282,哀,0.184,0.2882,0.0111,0.0439,0.2626
283,哀,0.0635,0.7083,0.0694,0.0045,0.2886
284,哀,0.0161,0.9919,0.001,0.0339,0.1124
285,喜,0.3658,0.0503,0.4682,0.0149,0.3857
286,"哀, 思",0.0171,0.8042,0.0095,0.0090,0.5404
287,哀,0.036,0.808,0.0003,0.0136,0.2542
288,哀,0.0089,0.9822,0.0004,0.0067,0.1579
289,哀,0.0836,0.9905,0.0054,0.0007,0.1354
290,"哀, 思",0.0194,0.7756,0.0171,0.0032,0.5570
291,"哀, 思",0.1046,0.8914,0.0210,0.0073,0.7850
292,乐,0.9119,0.0015,0.1052,0.0588,0.0063
293,乐,0.8863,0.226,0.4143,0.0065,0.0666
294,"乐, 哀",0.7607,0.5478,0.3244,0.0001,0.0299
295,哀,0.0248,0.9476,0.0019,0.0796,0.1598
296,哀,0.0101,0.5445,0.0326,0.3342,0.0628
297,哀,0.0194,0.1519,0.0106,0.0085,0.0962
298,"乐, 哀",0.6278,0.5399,0.0241,0.0121,0.0431
299,哀,0.0166,0.9971,0.0008,0.0047,0.0538
300,哀,0.1907,0.4542,0.0615,0.0087,0.3198
301,"哀, 思",0.0064,0.9704,0.0014,0.0015,0.9740
302,思,0.2027,0.2524,0.0011,0.0016,0.5667
303,乐,0.4284,0.0248,0.001,0.0227,0.0469
304,哀,0.2865,0.5579,0.1671,0.0725,0.0102
305,哀,0.0074,0.9065,0.0009,0.0325,0.1214
306,哀,0.0593,0.897,0.0254,0.0036,0.1017
307,哀,0.0087,0.9963,0.001,0.001,0.1255
308,哀,0.4546,0.7492,0.019,0.0009,0.0728
309,思,0.2725,0.4591,0.0043,0.0015,0.9068
310,思,0.1203,0.2589,0.0031,0.0027,0.8554
311,哀,0.0134,0.9366,0.0004,0.0043,0.2306
312,哀,0.3621,0.9413,0.074,0.0002,0.4023
313,哀,0.0237,0.9859,0.019,0.0205,0.1759
314,思,0.0056,0.1537,0.0152,0.0167,0.9708
315,哀,0.0397,0.5796,0.0295,0.0045,0.3726
316,思,0.0092,0.0515,0.4351,0.0008,0.6595
317,哀,0.1745,0.8297,0.0142,0.0367,0.023
318,哀,0.0104,0.926,0.0012,0.0089,0.4505
319,思,0.1633,0.323,0.0007,0.0077,0.3884
320,怒/豪,0.0686,0.1944,0.0098,0.7354,0.1012
321,哀,0.0104,0.9817,0.0015,0.0112,0.0539
322,哀,0.0256,0.9841,0.0013,0.0299,0.005
323,思,0.3847,0.1264,0.0337,0.004,0.4973
324,思,0.2667,0.0615,0.0408,0.0705,0.6031
325,哀,0.0481,0.8827,0.0761,0.0013,0.0364
326,"乐, 思",0.8834,0.0127,0.3835,0.0080,0.6674
327,哀,0.0563,0.8959,0.0055,0.1878,0.0194
328,哀,0.008,0.981,0.1501,0.0004,0.4461
329,哀,0.0417,0.8505,0.0084,0.0038,0.4704
330,思,0.0122,0.2081,0.0005,0.0195,0.9822
331,哀,0.035,0.7719,0.0176,0.002,0.1145
332,哀,0.2036,0.9257,0.0033,0.0018,0.313
333,"乐, 思",0.9034,0.0007,0.0221,0.0258,0.5834
334,哀,0.3226,0.464,0.0886,0.0072,0.0261
335,"哀, 思",0.0438,0.6717,0.0077,0.0030,0.8527
336,思,0.0366,0.0488,0.0192,0.1527,0.9321
337,乐,0.9414,0.0718,0.0631,0.0036,0.3096
338,乐,0.4481,0.1066,0.052,0.0022,0.4185
339,"乐, 哀",0.6829,0.6590,0.0421,0.0074,0.0819
340,哀,0.0165,0.926,0.0436,0.0105,0.1319
341,哀,0.0611,0.7605,0.0119,0.0079,0.3059
342,"哀, 思",0.0030,0.7627,0.0006,0.0218,0.7944
343,"哀, 思",0.0108,0.9864,0.0017,0.0006,0.6836
344,"哀, 思",0.0107,0.7739,0.0093,0.0016,0.9774
345,思,0.0417,0.0964,0.0181,0.0102,0.8885
346,"哀, 思",0.0068,0.6621,0.0453,0.0486,0.7093
347,"乐, 喜",0.9540,0.0018,0.5732,0.0023,0.1686
348,乐,0.9392,0.2556,0.0551,0.0007,0.1216
349,思,0.154,0.1035,0.0062,0.2832,0.909
350,乐,0.7979,0.0048,0.14,0.0937,0.0459
351,哀,0.0294,0.9959,0.0018,0.0965,0.1715
352,乐,0.4923,0.1878,0.0359,0.0046,0.1717
353,哀,0.0005,0.0003,0.0067,0.0208,0.0
354,"哀, 思",0.0046,0.6992,0.0169,0.2952,0.7767
355,"喜, 思",0.3790,0.0129,0.7350,0.2613,0.8700
356,思,0.1769,0.1127,0.0825,0.0043,0.8167
357,哀,0.0094,0.7023,0.0653,0.0147,0.1923
358,思,0.104,0.0608,0.0261,0.0066,0.8618
359,"乐, 哀",0.5165,0.9038,0.0212,0.2249,0.2157
360,"哀, 思",0.0882,0.5202,0.0019,0.0074,0.7865
361,哀,0.0365,0.7908,0.0029,0.0079,0.4819
362,思,0.0916,0.0624,0.1312,0.0254,0.6867
363,"乐, 思",0.6623,0.1250,0.0114,0.0479,0.5551
364,思,0.0777,0.221,0.0031,0.0197,0.8653
365,乐,0.4377,0.0653,0.0381,0.2592,0.051
366,思,0.0381,0.0003,0.2255,0.001,0.9607
367,哀,0.0377,0.6251,0.0161,0.0134,0.4681
368,乐,0.7071,0.0405,0.0573,0.0464,0.3642
369,哀,0.0002,0.0002,0.0042,0.3432,0.0
370,"哀, 思",0.0375,0.7353,0.0024,0.1522,0.9703
371,思,0.1455,0.0664,0.0439,0.1819,0.8391
372,哀,0.2045,0.4205,0.0161,0.0075,0.3356
373,乐,0.5175,0.0089,0.2346,0.1109,0.2649
374,"哀, 思",0.0020,0.9936,0.0007,0.0023,0.7558
375,乐,0.8313,0.0128,0.1673,0.3446,0.0478
376,哀,0.0656,0.9316,0.0005,0.0559,0.0429
377,"哀, 怒/豪",0.0189,0.6566,0.3366,0.6377,0.2139
378,思,0.0867,0.0365,0.0005,0.0039,0.7386
379,乐,0.6874,0.0273,0.3665,0.0033,0.2987
380,乐,0.4615,0.0821,0.0125,0.0436,0.2661
381,哀,0.0901,0.8577,0.004,0.046,0.0092
382,乐,0.71,0.2714,0.0625,0.0059,0.0364
383,哀,0.3109,0.553,0.4505,0.0016,0.2708
384,怒/豪,0.3065,0.1173,0.0016,0.4119,0.0568
385,思,0.0136,0.2573,0.0565,0.0017,0.9537
386,哀,0.3389,0.5247,0.3237,0.0245,0.2367
387,"乐, 喜",0.6244,0.0086,0.9798,0.0023,0.0470
388,乐,0.45,0.3358,0.0071,0.0153,0.2937
389,"乐, 喜",0.7817,0.1103,0.5321,0.0156,0.0752
390,哀,0.2067,0.5266,0.0802,0.0272,0.4842
391,哀,0.2632,0.8038,0.0878,0.0401,0.3219
392,哀,0.0012,0.9992,0.0016,0.001,0.0898
393,哀,0.0167,0.9966,0.0008,0.0064,0.0361
394,思,0.0039,0.0629,0.1186,0.0013,0.9966
395,思,0.1039,0.0292,0.3228,0.0064,0.8358
396,"哀, 思",0.0022,0.5338,0.0013,0.0108,0.9839
397,乐,0.8117,0.1214,0.0213,0.0217,0.0912
398,思,0.0293,0.1862,0.1475,0.1163,0.8704
399,乐,0.1513,0.1419,0.0185,0.0338,0.0545
400,哀,0.0009,0.9898,0.0229,0.0035,0.0714
401,思,0.179,0.0772,0.0373,0.057,0.9669
402,思,0.0261,0.0034,0.0018,0.9955,0.0
403,思,0.0981,0.0124,0.08,0.0635,0.9516
404,思,0.3395,0.1746,0.1527,0.0021,0.3431
405,哀,0.0889,0.7506,0.0137,0.0028,0.449
406,哀,0.1203,0.8386,0.0185,0.0074,0.0155
407,乐,0.6313,0.0044,0.3378,0.0008,0.3066
408,哀,0.0778,0.9929,0.0148,0.0045,0.0964
409,哀,0.3311,0.8771,0.0018,0.0164,0.1185
410,哀,0.0857,0.9696,0.0133,0.0006,0.0347
411,思,0.3513,0.012,0.0282,0.0001,0.7336
412,思,0.3506,0.2355,0.0632,0.0005,0.4402
413,哀,0.0004,0.9979,0.0147,0.0011,0.0251
414,"哀, 思",0.1036,0.6410,0.0014,0.0024,0.5698
415,哀,0.0008,0.9999,0.0049,0.0022,0.0166
416,哀,0.0407,0.9994,0.0069,0.0023,0.0788
417,乐,0.678,0.076,0.0303,0.113,0.1884
418,"哀, 思",0.0618,0.6289,0.0305,0.0066,0.6443
419,思,0.1229,0.1284,0.0061,0.0097,0.7433
420,乐,0.98,0.007,0.0016,0.0016,0.1892
421,"乐, 喜",0.6709,0.0042,0.8377,0.0003,0.4254
422,思,0.2154,0.1176,0.0104,0.0023,0.7249
423,思,0.0295,0.0921,0.0011,0.0751,0.9656
424,思,0.3197,0.1358,0.0043,0.0021,0.963
425,乐,0.5293,0.0027,0.1192,0.0266,0.1489
426,思,0.2614,0.0469,0.0223,0.0015,0.7306
427,思,0.0262,0.1849,0.2333,0.0001,0.4388
428,"哀, 思",0.0033,0.9242,0.0002,0.0182,0.9923
429,乐,0.9799,0.012,0.1205,0.0514,0.226
430,思,0.0071,0.1251,0.0019,0.3892,0.9834
431,哀,0.0691,0.7723,0.0237,0.031,0.4555
432,"哀, 思",0.0866,0.6058,0.0209,0.0294,0.6510
433,"乐, 思",0.5779,0.0125,0.0169,0.0019,0.7802
434,"乐, 喜",0.9510,0.0602,0.6158,0.0068,0.0185
435,"乐, 思",0.5966,0.1047,0.0033,0.0013,0.8465
436,乐,0.9307,0.0069,0.002,0.0187,0.3646
437,哀,0.0014,0.7441,0.0315,0.1315,0.0218
438,喜,0.0234,0.0789,0.5709,0.1665,0.1245
439,"乐, 哀",0.6112,0.6145,0.0020,0.1174,0.0303
440,怒/豪,0.1351,0.2742,0.0019,0.2896,0.0315
441,"乐, 思",0.9443,0.0003,0.0439,0.0004,0.7519
442,乐,0.6123,0.1895,0.0145,0.0003,0.0865
443,哀,0.067,0.9613,0.0018,0.0006,0.1217
444,"喜, 思",0.2033,0.0047,0.6762,0.0046,0.6463
445,哀,0.1362,0.672,0.0409,0.0047,0.0932
446,乐,0.8095,0.3892,0.0699,0.0008,0.4238
447,哀,0.0847,0.4058,0.144,0.0671,0.1996
448,哀,0.4531,0.7657,0.0115,0.1067,0.0173
449,哀,0.0502,0.9994,0.0227,0.0678,0.0
450,哀,0.0238,0.9646,0.0034,0.0734,0.0521
451,哀,0.2229,0.2269,0.0451,0.0055,0.1681
452,哀,0.0355,0.9991,0.0001,0.0014,0.008
453,怒/豪,0.3705,0.3171,0.102,0.5808,0.1262
454,思,0.1597,0.0314,0.1827,0.0013,0.6257
455,思,0.2214,0.0133,0.094,0.1359,0.7324
456,哀,0.1895,0.7672,0.0052,0.009,0.0183
457,思,0.0084,0.0017,0.0328,0.0049,0.832
